epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1551,3.42666,5.04998,2.60339,6e-05,0.01143,7e-05,1e-05,3.91302,5.20717,3.42862,0.00011,0.00011,0.08911
2,28.2165,3.16778,4.82443,2.33544,3e-05,0.00571,4e-05,2e-05,3.68091,5.0744,3.20168,0.000225446,0.000225446,0.0772254
3,41.7356,3.15156,4.6857,2.26906,5e-05,0.01143,7e-05,2e-05,3.46576,5.00311,2.91746,0.00033614,0.00033614,0.0653361
4,54.6691,3.22059,4.71682,2.28168,5e-05,0.01143,5e-05,2e-05,3.47029,4.96638,2.89806,0.000442082,0.000442082,0.0534421
5,66.612,3.01864,4.66337,2.2087,4e-05,0.01143,5e-05,2e-05,3.46474,4.93385,2.76852,0.000543272,0.000543272,0.0415433
6,78.6612,3.05731,4.46596,2.18816,4e-05,0.01143,0.00018,5e-05,3.39728,4.89118,2.64069,0.00063971,0.00063971,0.0296397
7,92.1416,3.03382,4.48682,2.18018,4e-05,0.01143,0.00018,5e-05,3.39728,4.89118,2.64069,0.000731396,0.000731396,0.0177314
8,105.945,3.04497,4.50716,2.1986,0.00014,0.01624,0.00074,0.00035,3.36538,4.84869,2.55426,0.00081833,0.00081833,0.00581833
9,118.769,2.89758,4.42931,2.10267,0.00049,0.03228,0.00069,0.00021,3.33156,4.83049,2.52277,0.0008416,0.0008416,0.0008416
10,131.178,2.96906,4.43411,2.14519,0.00027,0.02446,0.00055,0.00022,3.25191,4.77118,2.45795,0.0008218,0.0008218,0.0008218
11,144.311,2.84707,4.33703,2.05463,0.00027,0.02446,0.00055,0.00022,3.25191,4.77118,2.45795,0.000802,0.000802,0.000802
12,158.935,2.88248,4.30822,2.06658,0.00095,0.02228,0.00135,0.00042,3.24102,4.81793,2.42269,0.0007822,0.0007822,0.0007822
13,173.795,2.88196,4.33656,2.07144,0.00033,0.02018,0.0006,0.00025,3.25071,4.83163,2.44568,0.0007624,0.0007624,0.0007624
14,187.721,2.82807,4.33748,2.11557,0.4048,0.00211,0.00265,0.00123,3.2506,4.84865,2.44463,0.0007426,0.0007426,0.0007426
15,200.653,2.96509,4.25776,2.12586,0.4048,0.00211,0.00265,0.00123,3.2506,4.84865,2.44463,0.0007228,0.0007228,0.0007228
16,214.292,2.78519,4.28651,2.09938,0.49025,0.00211,0.00318,0.00115,3.25787,4.94344,2.43212,0.000703,0.000703,0.000703
17,228.687,2.84126,4.2278,2.06828,0.48914,0.00421,0.00364,0.00058,3.24224,5.10417,2.38477,0.0006832,0.0006832,0.0006832
18,243.672,2.84037,4.07817,2.05225,0.28202,0.00421,0.00085,0.00021,3.24583,5.235,2.42504,0.0006634,0.0006634,0.0006634
19,258.776,2.7609,4.2536,2.01049,0.28202,0.00421,0.00085,0.00021,3.24583,5.235,2.42504,0.0006436,0.0006436,0.0006436
20,272.872,2.8111,4.11411,1.99071,0.12055,0.00632,0.00042,0.00014,3.19974,5.13241,2.39081,0.0006238,0.0006238,0.0006238
21,285.191,2.72817,4.18909,2.03853,0.00014,0.00965,0.00011,3e-05,3.17292,5.07913,2.35561,0.000604,0.000604,0.000604
22,297.971,2.70032,4.15584,2.01263,6e-05,0.00421,7e-05,1e-05,3.14781,5.05137,2.32438,0.0005842,0.0005842,0.0005842
23,311.296,2.72408,4.11691,2.01332,6e-05,0.00421,7e-05,1e-05,3.14781,5.05137,2.32438,0.0005644,0.0005644,0.0005644
24,325.908,2.87855,4.0874,2.10584,0.00012,0.00754,0.00013,3e-05,3.14593,4.99532,2.32271,0.0005446,0.0005446,0.0005446
25,340.682,2.64851,4.13527,2.03474,0.00013,0.00754,0.00072,0.00016,3.14644,4.96072,2.32854,0.0005248,0.0005248,0.0005248
26,356.114,2.72803,4.04286,2.00967,0.20132,0.00211,0.00036,0.00012,3.16782,4.96913,2.34595,0.000505,0.000505,0.000505
27,370.998,2.62293,3.97115,1.97753,0.20132,0.00211,0.00036,0.00012,3.16782,4.96913,2.34595,0.0004852,0.0004852,0.0004852
28,383.855,2.6502,4.0094,2.01699,0.20185,0.00211,0.0007,0.00019,3.18491,5.00092,2.36291,0.0004654,0.0004654,0.0004654
29,397.458,2.66804,3.99254,1.93546,0.32186,0.00211,0.00071,0.00019,3.15467,4.97057,2.33997,0.0004456,0.0004456,0.0004456
30,412.795,2.61719,4.01714,1.91026,0.2832,0.00211,0.00101,0.00024,3.1415,4.89821,2.3111,0.0004258,0.0004258,0.0004258
31,427.749,2.52398,3.99549,1.89793,0.2832,0.00211,0.00101,0.00024,3.1415,4.89821,2.3111,0.000406,0.000406,0.000406
32,442.085,2.59391,3.94593,1.94557,0.32307,0.00211,0.00108,0.00036,3.14231,4.83938,2.30891,0.0003862,0.0003862,0.0003862
33,456.703,2.72463,3.94336,1.97405,0.32283,0.00211,0.00159,0.0006,3.12925,4.81863,2.31031,0.0003664,0.0003664,0.0003664
34,470.423,2.55756,3.97749,1.93848,0.12083,0.00211,0.00164,0.00052,3.12285,4.82652,2.31048,0.0003466,0.0003466,0.0003466
