epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8337,3.51469,4.43464,2.53202,0.00032,0.01071,0.0002,4e-05,3.75359,4.4826,3.06316,0.00011,0.00011,0.08911
2,26.8298,3.16989,4.15906,2.28832,0.00069,0.02786,0.0005,0.00011,3.55608,4.31415,2.75274,0.000228482,0.000228482,0.0772285
3,41.731,3.25849,4.03962,2.30895,0.00091,0.03571,0.00061,0.00014,3.58128,4.27104,2.74704,0.00034538,0.00034538,0.0653454
4,58.3511,3.12955,3.94936,2.20279,0.00068,0.02786,0.00045,0.00011,3.63786,4.25458,2.88017,0.000460694,0.000460694,0.0534607
5,73.4795,3.16232,3.90324,2.2701,0.00066,0.025,0.00043,0.00011,3.74724,4.26439,3.00366,0.000574424,0.000574424,0.0415744
6,88.7233,3.11527,3.8741,2.23059,0.00078,0.02357,0.00057,0.00013,3.64058,4.24183,2.79693,0.00068657,0.00068657,0.0296866
7,103,3.0567,3.88739,2.18243,0.00078,0.02357,0.00057,0.00013,3.64058,4.24183,2.79693,0.000797132,0.000797132,0.0177971
8,117.689,3.05392,3.82728,2.13451,0.00154,0.03286,0.00121,0.00027,3.50323,4.21402,2.59939,0.00090611,0.00090611,0.00590611
9,131.369,2.98829,3.83196,2.20272,0.00124,0.02857,0.0009,0.00029,3.5559,4.17962,2.67164,0.0009472,0.0009472,0.0009472
10,144.77,2.96719,3.86256,2.15085,0.0013,0.04286,0.00092,0.0003,3.59426,4.13951,2.70577,0.0009406,0.0009406,0.0009406
11,158.764,2.96817,3.80318,2.16151,0.0013,0.04286,0.00092,0.0003,3.59426,4.13951,2.70577,0.000934,0.000934,0.000934
12,173.702,2.98291,3.80712,2.15068,0.00088,0.03357,0.00083,0.00025,3.41892,4.13292,2.52445,0.0009274,0.0009274,0.0009274
13,191.051,2.9385,3.73965,2.12922,0.00103,0.04071,0.00094,0.00023,3.29984,4.20171,2.40052,0.0009208,0.0009208,0.0009208
14,206.441,2.87206,3.69071,2.09601,0.0013,0.04643,0.00096,0.00025,3.27779,4.28044,2.37262,0.0009142,0.0009142,0.0009142
15,221.149,2.94428,3.66689,2.11532,0.0013,0.04643,0.00096,0.00025,3.27779,4.28044,2.37262,0.0009076,0.0009076,0.0009076
16,235.56,2.87968,3.73244,2.13127,0.00074,0.03286,0.00056,0.00014,3.27761,4.38575,2.37681,0.000901,0.000901,0.000901
17,249.884,2.89216,3.706,2.1188,0.00072,0.03143,0.00061,0.00018,3.3008,4.38579,2.37038,0.0008944,0.0008944,0.0008944
18,266.489,2.96319,3.67241,2.17586,0.0009,0.03643,0.00073,0.0002,3.27085,4.39319,2.36134,0.0008878,0.0008878,0.0008878
19,287.354,2.89132,3.72261,2.15569,0.0009,0.03643,0.00073,0.0002,3.27085,4.39319,2.36134,0.0008812,0.0008812,0.0008812
20,303.886,2.90803,3.61169,2.13652,0.00083,0.03214,0.00071,0.0002,3.21969,4.34874,2.35947,0.0008746,0.0008746,0.0008746
21,322.156,2.82641,3.6267,2.09265,0.00082,0.02929,0.00103,0.00028,3.33967,4.44625,2.45362,0.000868,0.000868,0.000868
22,336.889,2.81937,3.6704,2.12759,0.00097,0.035,0.00122,0.00026,3.37857,4.44352,2.50655,0.0008614,0.0008614,0.0008614
23,351.54,2.79912,3.55866,2.07159,0.00097,0.035,0.00122,0.00026,3.37857,4.44352,2.50655,0.0008548,0.0008548,0.0008548
24,364.901,2.82445,3.62344,2.08261,0.60771,0.0125,0.00221,0.00034,3.3849,4.46666,2.54707,0.0008482,0.0008482,0.0008482
25,378.437,2.72447,3.56089,2.09177,0.71091,0.0125,0.00268,0.00035,3.38934,4.44042,2.50533,0.0008416,0.0008416,0.0008416
26,392.824,2.65834,3.54219,2.04253,0.72306,0.0125,0.00417,0.00058,3.33449,4.40134,2.45481,0.000835,0.000835,0.000835
27,415.454,2.72946,3.55337,2.02775,0.72306,0.0125,0.00417,0.00058,3.33449,4.40134,2.45481,0.0008284,0.0008284,0.0008284
28,430.04,2.67458,3.48864,2.01325,0.52044,0.0125,0.00474,0.00086,3.27839,4.32213,2.39815,0.0008218,0.0008218,0.0008218
29,445.044,2.59912,3.41305,1.98375,0.46623,0.01393,0.00546,0.00094,3.19447,4.30498,2.32866,0.0008152,0.0008152,0.0008152
30,459.462,2.86426,3.5653,2.10807,0.52922,0.01393,0.0048,0.00108,3.16988,4.31959,2.30531,0.0008086,0.0008086,0.0008086
31,473.088,2.69592,3.48029,2.00992,0.52922,0.01393,0.0048,0.00108,3.16988,4.31959,2.30531,0.000802,0.000802,0.000802
32,487.627,2.63756,3.57852,1.98357,0.20792,0.01393,0.00321,0.00072,3.19469,4.31366,2.35452,0.0007954,0.0007954,0.0007954
33,502.763,2.68297,3.42762,2.00966,0.1049,0.01393,0.00218,0.00048,3.18646,4.31147,2.34972,0.0007888,0.0007888,0.0007888
34,518.112,2.67338,3.41651,1.97112,0.00189,0.0425,0.00127,0.00023,3.16543,4.32272,2.36469,0.0007822,0.0007822,0.0007822
35,533.626,2.71581,3.50046,1.97482,0.00189,0.0425,0.00127,0.00023,3.16543,4.32272,2.36469,0.0007756,0.0007756,0.0007756
36,549.518,2.63069,3.35718,1.97929,0.00062,0.00143,0.00062,0.00018,3.15007,4.38888,2.34939,0.000769,0.000769,0.000769
37,564.624,2.67023,3.33408,1.95094,0.00131,0.045,0.00095,0.00026,3.16349,4.38436,2.36445,0.0007624,0.0007624,0.0007624
38,578.361,2.69316,3.38646,1.97791,0.00084,0.00857,0.00065,0.00019,3.19794,4.33301,2.38551,0.0007558,0.0007558,0.0007558
39,592.124,2.65188,3.37086,1.93713,0.00084,0.00857,0.00065,0.00019,3.19794,4.33301,2.38551,0.0007492,0.0007492,0.0007492
40,607.483,2.60202,3.32397,1.95788,0.00081,0.00857,0.00076,0.00021,3.20682,4.29502,2.38081,0.0007426,0.0007426,0.0007426
41,622.575,2.50795,3.30627,1.91823,0.00074,0.00429,0.00065,0.00019,3.22928,4.33063,2.38766,0.000736,0.000736,0.000736
42,637.481,2.67391,3.28522,1.92728,0.10287,0.00286,0.00077,0.00023,3.25427,4.37277,2.39312,0.0007294,0.0007294,0.0007294
43,652.585,2.54916,3.39122,1.93708,0.10287,0.00286,0.00077,0.00023,3.25427,4.37277,2.39312,0.0007228,0.0007228,0.0007228
44,673.238,2.51811,3.29216,1.92837,0.20246,0.00429,0.00085,0.00026,3.23935,4.47996,2.39579,0.0007162,0.0007162,0.0007162
45,689.592,2.62229,3.25122,1.97388,0.30164,0.00286,0.00123,0.00038,3.23539,4.50794,2.37696,0.0007096,0.0007096,0.0007096
46,704.987,2.52869,3.25448,1.87572,0.54154,0.00143,0.00213,0.00065,3.1924,4.47932,2.32094,0.000703,0.000703,0.000703
47,719.605,2.55787,3.22221,1.95562,0.54154,0.00143,0.00213,0.00065,3.1924,4.47932,2.32094,0.0006964,0.0006964,0.0006964
48,734.392,2.43663,3.20552,1.87995,0.5216,0.00143,0.00149,0.00031,3.11987,4.44436,2.26946,0.0006898,0.0006898,0.0006898
